ID,sec-type,CAP1
10005311cSd,sec,0.10415255601706006
10007511cSd,sec,0.18215552337502627
10007611cSd,sec,-0.23051354288822534
10007811cSd,sec,0.13600911996117132
10010611cSd,sec,0.2370726178618623
10010811cSd,sec,0.06198643361004132
10011411cSd,sec,-0.005823042285434017
10012311cSd,sec,-0.1302053311237599
10012811cSd,sec,0.036820984479627596
10013611cSd,sec,-0.004334989154841845
10014411cSd,sec,0.08710367831597579
10014811cSd,sec,0.0077409563997121525
10014911cSd,sec,0.02869960698533655
10015111cSd,sec,0.23691530570743463
10015311cSd,sec,-0.12027389293216205
10015911cSd,sec,-0.17710290717242883
10016011cSd,sec,0.16782096272311933
10016611cSd,sec,0.3143260513388735
10017311cSd,sec,0.04589503069500113
10017511cSd,sec,0.12556062817147523
10018811cSd,sec,0.06744486885813913
10018911cSd,sec,0.013756828197398936
10019111cSd,sec,-0.0007682865480792
10019611cSd,sec,0.25597651641532615
10019711cSd,sec,-0.07913671026356361
10019811cSd,sec,0.1614811221716894
10020011cSd,sec,0.12293263088418888
10020611cSd,sec,0.15661708538405872
10020711cSd,sec,0.11711746005725282
10021011cSd,sec,0.021550925007552693
10021511cSd,sec,-0.1723750186935696
10023111cSd,sec,-0.11447907084766629
10023211cSd,sec,0.025003181053402698
10023411cSd,sec,-0.24541657369231085
10023811cSd,sec,0.0014383708707410119
10024111cSd,sec,0.02914011999281578
10024511cSd,sec,-0.03416476838911243
10024811cSd,sec,0.13089813976300818
10025111cSd,sec,0.14146807456150762
10025211cSd,sec,0.1443460245520416
10026111cSd,sec,-0.09964363888168379
10026411cSd,sec,-0.0032896254519407357
10026511cSd,sec,-0.15502965721470308
10026611cSd,sec,0.11783109977726204
10026811cSd,sec,0.11851963086342586
10027111cSd,sec,-0.05920416772028711
10027611cSd,sec,0.00767950840768665
10028211cSd,sec,-0.23994961557198843
10028511cSd,sec,0.0029419560214605234
10029911cSd,sec,0.045558888900035496
10030211cSd,sec,-0.02145734391944791
11001511cSd,sec,-0.19543998202080434
11001611cSd,sec,-0.013484891426053087
11002311cSd,sec,-0.03582381270583557
11002411cSd,sec,0.10536282136135436
11003211cSd,sec,0.04464906951956636
11003311cSd,sec,0.07387391024950057
11004111cSd,sec,-0.17538172197072072
11004311cSd,sec,0.203749656083698
11004611cSd,sec,-0.0956827671516617
11004711cSd,sec,-0.1310380824751218
11004911cSd,sec,0.10566251262417269
11005111cSd,sec,0.07301529948869315
11005211cSd,sec,-0.006910849119972418
10007311cSd,non-sec,0.01791093465679266
10008111cSd,non-sec,0.07720095947146356
10016111cSd,non-sec,0.03347164579452287
10018611cSd,non-sec,-0.17915580586443403
10020811cSd,non-sec,0.017531315617974837
10022611cSd,non-sec,-0.24413551296018637
10023711cSd,non-sec,-0.47985272621422603
10024411cSd,non-sec,-0.02642521762093552
10024611cSd,non-sec,-0.10077925457132561
10025911cSd,non-sec,-0.11418426370259882
10029011cSd,non-sec,-0.2007556551482891
11001911cSd,non-sec,-0.1275190327270272
11004511cSd,non-sec,-0.18665225381805226
