ID,sec-type,CAP1
10005311cSe,sec,0.10496928440529393
10005511cSe,sec,-0.05634204524567232
10006111cSe,sec,0.054188112332583256
10006511cSe,sec,0.18671772541723308
10006811cSe,sec,0.10695343862709993
10007811cSe,sec,0.10056913127115724
10008211cSe,sec,0.0924776315432535
10009211cSe,sec,0.04019623076924724
10009311cSe,sec,0.07163707808112034
10009511cSe,sec,-0.42626622715599394
10009811cSe,sec,-0.2626157721153026
10010811cSe,sec,0.08902447036271982
10011011cSe,sec,-0.1487250604825719
10011311cSe,sec,0.17472435458282365
10011411cSe,sec,0.03468031417575601
10011511cSe,sec,-0.06930306907618841
10012311cSe,sec,-0.0006528312124476979
10012711cSe,sec,-0.010240569006821354
10014411cSe,sec,0.15073150031802846
10014511cSe,sec,0.16999176058064042
10014611cSe,sec,0.35022007875284533
10014811cSe,sec,0.13416705787413188
10014911cSe,sec,0.18248371208895758
10015111cSe,sec,0.23538849520328972
10015311cSe,sec,-0.10788339202595143
10016611cSe,sec,0.05941141601726436
10017711cSe,sec,0.1029469860909976
10018911cSe,sec,0.03256846596972502
10019111cSe,sec,-0.18434291306861836
10019511cSe,sec,-0.2607107086320056
10019611cSe,sec,-0.09468070559051706
10019811cSe,sec,-0.02924479466871812
10020211cSe,sec,0.08997308224123113
10020511cSe,sec,0.10635332737229644
10020911cSe,sec,0.056569513220586204
10021011cSe,sec,-0.061751828671309926
10021511cSe,sec,-0.011652144525828183
10022011cSe,sec,-0.21443555720117288
10023111cSe,sec,-0.05574460476302453
10023211cSe,sec,0.1877021302814352
10023411cSe,sec,0.08478122686739814
10023811cSe,sec,0.07821626954189358
10024011cSe,sec,-0.06378765821961786
10024111cSe,sec,-0.016116297518379966
10024511cSe,sec,-0.0904991578877303
10024811cSe,sec,0.002455425576138197
10024911cSe,sec,-0.1142778036556854
10025111cSe,sec,0.054456562007940676
10025211cSe,sec,-0.14492596530050444
10026411cSe,sec,0.1194892958285901
10026511cSe,sec,0.06535399862750409
10026811cSe,sec,-0.0724789942046922
10027611cSe,sec,0.19683146778943705
10028211cSe,sec,-0.12545326029615528
10029511cSe,sec,0.13518533642324151
10029611cSe,sec,0.05831588654626425
10029911cSe,sec,0.14217660572713048
11001511cSe,sec,0.10057259263546722
11002311cSe,sec,0.05514201727023729
11002411cSe,sec,0.1537421009269752
11003211cSe,sec,0.13165871463357437
11003311cSe,sec,0.020417824979640987
11004111cSe,sec,-0.0008649631952989886
11004611cSe,sec,0.015170684131303264
11005711cSe,sec,0.07089852427221296
10005711cSe,non-sec,-0.23774851742738512
10008011cSe,non-sec,-0.02635585739304669
10015711cSe,non-sec,-0.10765262140284249
10016111cSe,non-sec,-0.12231583972635605
10018611cSe,non-sec,0.08574510900075216
10020811cSe,non-sec,-0.13911519362554778
10021211cSe,non-sec,-0.49672351682049937
10021311cSe,non-sec,-0.0842784433927414
10022611cSe,non-sec,0.11672321708071391
10022711cSe,non-sec,-0.10683592906209224
10023511cSe,non-sec,-0.21932067801020705
10024411cSe,non-sec,-0.19051496830955175
10024611cSe,non-sec,-0.2540364315643651
10025911cSe,non-sec,0.05504847825649997
11001311cSe,non-sec,-0.10868319294172285
11001811cSe,non-sec,-0.04793634970267813
11001911cSe,non-sec,0.18758176140101823
11004511cSe,non-sec,-0.08009453400440758
