taxon,lineage,spearman_CAP1,mean_sec,mean_non_sec,higher_in
Bacteria (d),d__Bacteria|__|__|__|__|__,0.3713647166730244,0.05629649003076922,0.03169293611111111,sec
Streptococcus,d__Bacteria|p__Firmicutes_D|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus,-0.3401428369071898,0.03303899132307692,0.07381977599999999,non-sec
Bacteroides_H,d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides_H,-0.32310139645897296,0.08017496326153846,0.11648763388888889,non-sec
Bulleidia,d__Bacteria|p__Firmicutes_D|c__Bacilli|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Bulleidia,0.2894069046497813,7.896146153846153e-05,2.4909944444444446e-05,sec
Clostridium_T,d__Bacteria|p__Firmicutes_A|c__Clostridia_258483|o__Clostridiales|f__Clostridiaceae_222000|g__Clostridium_T,0.2793839375895774,0.012363926169230769,0.0023917724444444447,sec
Bifidobacterium,d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium_388775,0.27160908442130893,0.4893993368461539,0.46574445616666676,sec
Clostridium_P,d__Bacteria|p__Firmicutes_A|c__Clostridia_258483|o__Clostridiales|f__Clostridiaceae_222000|g__Clostridium_P,0.25611671879034104,0.004209032046153846,0.0012086755,sec
Phocaeicola_A,d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola_A_858004,-0.25215625329199476,0.0486507015076923,0.10024544461111111,non-sec
Mediterraneibacter_A,d__Bacteria|p__Firmicutes_A|c__Clostridia_258483|o__Lachnospirales|f__Lachnospiraceae|g__Mediterraneibacter_A_155507,0.2517568452034777,0.0021031191384615383,6.337638888888889e-05,sec
Cellulosilyticaceae (f),d__Bacteria|p__Firmicutes_A|c__Clostridia_258483|o__Lachnospirales|f__Cellulosilyticaceae|__,0.24704127738584228,0.0028317483692307695,0.0,sec
Hungatella_A,d__Bacteria|p__Firmicutes_A|c__Clostridia_258483|o__Lachnospirales|f__Lachnospiraceae|g__Hungatella_A_128155,0.24230582991085778,0.004959380938461539,1.7056166666666668e-05,sec
Ruminococcus_B,d__Bacteria|p__Firmicutes_A|c__Clostridia_258483|o__Lachnospirales|f__Lachnospiraceae|g__Ruminococcus_B,0.2320955205019182,0.03542790872307692,0.022717823666666668,sec
