taxon,lineage,spearman_CAP1,mean_sec,mean_non_sec,higher_in
Phocaeicola_A,d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola_A_858004,-0.5126983049349044,0.06267447664705882,0.21677142811111114,non-sec
UBA1417,d__Bacteria|p__Firmicutes_A|c__Clostridia_258483|o__Oscillospirales|f__Acutalibacteraceae|g__UBA1417,-0.2550718098281807,3.0377176470588234e-06,3.2576611111111105e-05,non-sec
Enterococcus_B,d__Bacteria|p__Firmicutes_D|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus_B,-0.22043318178654833,0.09493874383529412,0.14291156966666665,non-sec
Amedibacterium,d__Bacteria|p__Firmicutes_D|c__Bacilli|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Amedibacterium,-0.20633611404638938,1.3694117647058824e-06,3.2777777777777778e-06,non-sec
Lactococcus_A,d__Bacteria|p__Firmicutes_D|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus_A_346120,0.2042594183219549,0.006258346364705882,0.0020299195,sec
UBA1394,d__Bacteria|p__Firmicutes_A|c__Clostridia_258483|o__Oscillospirales|f__Ruminococcaceae|g__UBA1394,-0.2014835892919972,9.823529411764706e-07,4.922222222222222e-06,non-sec
Hungatella_A,d__Bacteria|p__Firmicutes_A|c__Clostridia_258483|o__Lachnospirales|f__Lachnospiraceae|g__Hungatella_A_128155,-0.1960157336190787,1.5994882352941176e-05,1.476188888888889e-05,sec
Erysipelatoclostridium,d__Bacteria|p__Firmicutes_D|c__Bacilli|o__Erysipelotrichales|f__Coprobacillaceae|g__Erysipelatoclostridium,-0.19005762302563864,0.0069915018588235294,0.003281936555555555,sec
Dialister,d__Bacteria|p__Firmicutes_C|c__Negativicutes|o__Veillonellales|f__Dialisteraceae|g__Dialister,-0.1894950478291581,8.1976e-06,3.4333333333333332e-06,sec
Bacillus_A,d__Bacteria|p__Firmicutes_D|c__Bacilli|o__Bacillales_B_310392|f__Bacillaceae_G_310392|g__Bacillus_A,0.1881352973501978,0.015397450447058822,0.0,sec
Neisseria,d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Burkholderiales_597441|f__Neisseriaceae_563222|g__Neisseria_563205,0.18222772806316226,0.00011289538823529413,0.0005144286666666667,non-sec
Paraclostridium,d__Bacteria|p__Firmicutes_A|c__Clostridia_258483|o__Peptostreptococcales|f__Peptostreptococcaceae_256921|g__Paraclostridium,-0.1802935924205331,1.335888235294118e-05,1.1481444444444444e-05,sec
