taxon,lineage,spearman_CAP1_adjusted,mean_sec,mean_non_sec
Bifidobacterium,d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium_388775,-0.8371494632847511,0.3179108565454546,0.3654214751111111
Phocaeicola_A,d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola_A_858004,0.450178489532619,0.06219396118181819,0.022045217111111112
Bacteroides_H,d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides_H,0.4451163538604757,0.07328673461363634,0.033467500444444444
Lacticaseibacillus,d__Bacteria|p__Firmicutes_D|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lacticaseibacillus,-0.43967144127695773,0.005757426340909091,0.0
Bacteria (d),d__Bacteria|__|__|__|__|__,0.42829159883326967,0.049557501,0.03821789211111112
Enterobacteriaceae_A (f),d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales_A_737866|f__Enterobacteriaceae_A|__,-0.3203134324061503,0.07755624193181818,0.091826396
Blautia_A,d__Bacteria|p__Firmicutes_A|c__Clostridia_258483|o__Lachnospirales|f__Lachnospiraceae|g__Blautia_A_141780,0.31827235418946237,0.004856449181818182,0.0002887503333333333
Clostridium_T,d__Bacteria|p__Firmicutes_A|c__Clostridia_258483|o__Clostridiales|f__Clostridiaceae_222000|g__Clostridium_T,0.313618609049099,0.0064805306590909086,0.007460479777777777
Dialister,d__Bacteria|p__Firmicutes_C|c__Negativicutes|o__Veillonellales|f__Dialisteraceae|g__Dialister,0.3033093286882985,0.00047959679545454543,0.00017325022222222221
Parabacteroides_B,d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides_B_862066,0.30055724207503115,0.008808945931818182,0.007303902666666667
Fusobacterium_A,d__Bacteria|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales_993521|f__Fusobacteriaceae_993521|g__Fusobacterium_A,0.2952325462021087,0.010608190363636364,0.003850003888888889
Haemophilus_D,d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales_A_737866|f__Pasteurellaceae|g__Haemophilus_D_736121,-0.29281673266346203,0.0,0.0005512935555555556
