taxon,lineage,spearman_CAP1_adjusted,mean_sec,mean_non_sec
Clostridium_T,d__Bacteria|p__Firmicutes_A|c__Clostridia_258483|o__Clostridiales|f__Clostridiaceae_222000|g__Clostridium_T,0.32532088862082353,0.013189098615384616,0.0025440915
Enterococcus_A,d__Bacteria|p__Firmicutes_D|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus_A,-0.3221145506692929,0.01656023009615384,0.030241009375000003
Enterococcaceae (f),d__Bacteria|p__Firmicutes_D|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|__,-0.28611749050003676,0.0007902832692307691,0.0012844023125
Bifidobacterium,d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium_388775,0.2739626674810093,0.47565189946153846,0.4429462934375
Cellulosilyticaceae (f),d__Bacteria|p__Firmicutes_A|c__Clostridia_258483|o__Lachnospirales|f__Cellulosilyticaceae|__,0.2701792562480886,0.003539685461538462,0.0
Actinotignum,d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinotignum,0.26584293978023316,4.446390384615385e-05,0.0
Ruminococcus_B,d__Bacteria|p__Firmicutes_A|c__Clostridia_258483|o__Lachnospirales|f__Lachnospiraceae|g__Ruminococcus_B,0.2466263522179785,0.034656191134615384,0.0217374471875
Actinobaculum,d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Actinomycetaceae|g__Actinobaculum,-0.23989113942886378,0.0,2.90983125e-05
Megasphaera_A,d__Bacteria|p__Firmicutes_C|c__Negativicutes|o__Veillonellales|f__Megasphaeraceae|g__Megasphaera_A_38685,-0.23849654101435747,0.01353278973076923,0.020847465750000002
Faecalibacterium,d__Bacteria|p__Firmicutes_A|c__Clostridia_258483|o__Oscillospirales|f__Ruminococcaceae|g__Faecalibacterium,0.23002471153473847,0.00033405726923076926,0.0
Enterobacteriaceae_A (f),d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales_A_737866|f__Enterobacteriaceae_A|__,0.22018247549788472,0.01791537921153846,0.001610569125
YIM-78166,d__Bacteria|p__Firmicutes_D|c__Bacilli|o__Aneurinibacillales|f__RAOX-1|g__YIM-78166,0.2169115288814927,3.6501384615384614e-05,0.0
