taxon,lineage,spearman_CAP1_adjusted,mean_sec,mean_non_sec
Enterococcus_H,d__Bacteria|p__Firmicutes_D|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus_H_360604,0.5631389541446258,0.14121512924242421,0.12465113935714286
Bifidobacterium,d__Bacteria|p__Actinobacteriota|c__Actinomycetia|o__Actinomycetales|f__Bifidobacteriaceae|g__Bifidobacterium_388775,-0.5472630609815884,0.1486221108787879,0.16748552578571424
Phocaeicola_A,d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Phocaeicola_A_858004,-0.42217152122032736,0.058658721121212114,0.14227502457142857
Bacteroides_H,d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides_H,-0.37368850768862477,0.06336911557575758,0.03338575778571428
Enterococcus_A,d__Bacteria|p__Firmicutes_D|c__Bacilli|o__Lactobacillales|f__Enterococcaceae|g__Enterococcus_A,-0.3626524438120007,0.03091138886363637,0.015225279999999999
Staphylococcus,d__Bacteria|p__Firmicutes_D|c__Bacilli|o__Staphylococcales|f__Staphylococcaceae|g__Staphylococcus,0.3145636763299369,0.15955562003030302,0.1549444397857143
Streptococcus,d__Bacteria|p__Firmicutes_D|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus,0.31118107944595486,0.10648960637878788,0.1719326182142857
Parabacteroides_B,d__Bacteria|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides_B_862066,-0.30487607829018687,0.030794292606060602,0.0015550003571428573
Lactococcus_A,d__Bacteria|p__Firmicutes_D|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Lactococcus_A_346120,0.21109837999610756,0.005027833848484849,0.0024877067142857145
Erysipelatoclostridium,d__Bacteria|p__Firmicutes_D|c__Bacilli|o__Erysipelotrichales|f__Coprobacillaceae|g__Erysipelatoclostridium,-0.1938584738802907,0.00884996459090909,0.004219632714285714
Atopobiaceae (f),d__Bacteria|p__Actinobacteriota|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|__,0.18757793555949867,0.0,1.4103785714285714e-05
Lactobacillus,d__Bacteria|p__Firmicutes_D|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus,0.18621082301360442,8.10180303030303e-06,6.628571428571429e-06
