metabolite,timing,n_sec_pos,n_sec_neg,p-value,q-value,reject_fdr
2'-fucosyllactose,0,110,26,1.996228962173176e-45,2.9943434432597646e-45,True
2'-fucosyllactose,1,111,25,9.315972645220309e-51,2.794791793566093e-50,True
2'-fucosyllactose,2,77,21,4.55758446281871e-36,4.55758446281871e-36,True
2-Aminobutyrate,0,110,26,0.6606859522999008,0.9446266541028111,False
2-Aminobutyrate,1,111,25,0.9446266541028111,0.9446266541028111,False
2-Aminobutyrate,2,77,21,0.5941572716835636,0.9446266541028111,False
2-Oxoglutarate,0,110,26,0.7825893608150852,0.8282296728432822,False
2-Oxoglutarate,1,111,25,0.48551022663923665,0.8282296728432822,False
2-Oxoglutarate,2,77,21,0.8282296728432822,0.8282296728432822,False
3'-sialyllactose,0,110,26,0.00041848925267250653,0.0012554677580175198,True
3'-sialyllactose,1,111,25,0.001544684331042028,0.0023170264965630422,True
3'-sialyllactose,2,77,21,0.42872563985899875,0.42872563985899875,False
3-fucosyllactose,0,110,26,1.5004809855591365e-08,4.5014429566774094e-08,True
3-fucosyllactose,1,111,25,7.906685255197972e-08,1.1860027882796959e-07,True
3-fucosyllactose,2,77,21,2.5022525646360252e-05,2.5022525646360252e-05,True
6'-sialyllactose,0,110,26,0.02419138651790676,0.07257415955372029,False
6'-sialyllactose,1,111,25,0.3823126499208286,0.3823126499208286,False
6'-sialyllactose,2,77,21,0.23663624206550965,0.3549543630982645,False
Acetate,0,110,26,0.09997126947694311,0.22030476164691648,False
Acetate,1,111,25,0.14686984109794432,0.22030476164691648,False
Acetate,2,77,21,0.30750066391669456,0.30750066391669456,False
Acetone,0,110,26,0.12268372262688233,0.12268372262688233,False
Acetone,1,111,25,0.04642085333987056,0.06963128000980584,False
Acetone,2,77,21,0.02572222844427816,0.06963128000980584,False
Alanine,0,110,26,0.8634960670890224,0.9748371908717446,False
Alanine,1,111,25,0.6917959733946178,0.9748371908717446,False
Alanine,2,77,21,0.9748371908717446,0.9748371908717446,False
Asparagine,0,110,26,0.17017211334359475,0.25525817001539214,False
Asparagine,1,111,25,0.42068105389432,0.42068105389432,False
Asparagine,2,77,21,0.11741012443529276,0.25525817001539214,False
Aspartate,0,110,26,0.3578479240333753,0.6734396166841693,False
Aspartate,1,111,25,0.4489597444561128,0.6734396166841693,False
Aspartate,2,77,21,0.8417487534793405,0.8417487534793405,False
Betaine,0,110,26,0.7273091778301692,0.7273091778301692,False
Betaine,1,111,25,0.4172367929325002,0.6258551893987504,False
Betaine,2,77,21,0.33637637763661693,0.6258551893987504,False
Butyrate,0,110,26,0.1669407527070418,0.5008222581211255,False
Butyrate,1,111,25,0.4616334115108608,0.6924501172662912,False
Butyrate,2,77,21,0.764447644485523,0.764447644485523,False
Caprate,0,110,26,0.833289537370564,0.833289537370564,False
Caprate,1,111,25,0.718154338501413,0.833289537370564,False
Caprate,2,77,21,0.05204393538788024,0.15613180616364072,False
Caprylate,0,110,26,0.6892719973181073,0.8318039004005932,False
Caprylate,1,111,25,0.8318039004005932,0.8318039004005932,False
Caprylate,2,77,21,0.22413467581359459,0.6724040274407838,False
Choline,0,110,26,0.34032423658535527,0.34032423658535527,False
Choline,1,111,25,0.22452910935224257,0.33679366402836386,False
Choline,2,77,21,0.01534308395029713,0.04602925185089139,True
Citrate,0,110,26,0.5515117576311553,0.5707691022041523,False
Citrate,1,111,25,0.5707691022041523,0.5707691022041523,False
Citrate,2,77,21,0.50991387657494,0.5707691022041523,False
Creatine,0,110,26,0.6408073271354806,0.9526861820397317,False
Creatine,1,111,25,0.43177229449760846,0.9526861820397317,False
