metabolite,group_t,group_c,meandiff,p-adj,lower,upper,reject
2'-fucosyllactose,1,0,-3.6529988529411828,2.4812999432910487e-09,-4.992337762791122,-2.3136599430912437,True
2'-fucosyllactose,2,0,-5.647794201080433,5.784261958297066e-14,-6.919652170854521,-4.375936231306346,True
2'-fucosyllactose,2,1,-1.9947953481392502,2.5778468804027455e-08,-2.781933495734436,-1.2076572005440642,True
2-Aminobutyrate,1,0,0.0030902941176470635,4.3849812669805033e-10,0.0019980553253798232,0.004182532909914304,True
2-Aminobutyrate,2,0,0.007642364945978393,2.930988785010413e-14,0.006145342848712904,0.009139387043243883,True
2-Aminobutyrate,2,1,0.00455207082833133,9.422707059059121e-11,0.00303929164152618,0.00606485001513648,True
2-Oxoglutarate,1,0,0.004176852941176465,0.41771928855943463,-0.0036256762634412475,0.011979382145794177,False
2-Oxoglutarate,2,0,-0.00020330912364949216,0.9979265383027995,-0.008036666437402109,0.007630048190103125,False
2-Oxoglutarate,2,1,-0.004380162064825957,0.5069300854929801,-0.013663479219712425,0.0049031550900605105,False
3'-sialyllactose,1,0,-0.13816454411764706,0.0,-0.1604975127318387,-0.11583157550345541,True
3'-sialyllactose,2,0,-0.15158102070828328,7.771561172376096e-15,-0.17685853021361508,-0.12630351120295147,True
3'-sialyllactose,2,1,-0.013416476590636217,0.1781206886719373,-0.031201831106777437,0.004368877925505003,False
3-fucosyllactose,1,0,0.30477116911764734,0.0006356487420756674,0.11342252336946443,0.49611981486583023,True
3-fucosyllactose,2,0,1.2478356349039605,0.0,0.9683805201788205,1.5272907496291006,True
3-fucosyllactose,2,1,0.9430644657863132,2.9862556871762536e-11,0.6381733799541438,1.2479555516184826,True
6'-sialyllactose,1,0,-0.06256291176470585,0.017529006283292237,-0.11621438278437808,-0.008911440745033625,True
6'-sialyllactose,2,0,-0.5255105108043218,1.3877787807814457e-14,-0.5645194950811859,-0.4865015265274576,True
6'-sialyllactose,2,1,-0.46294759903961585,1.9206858326015208e-14,-0.5030429866221051,-0.42285221145712665,True
Acetate,1,0,-0.0044852941176470595,0.5514281010295733,-0.014636918003670948,0.005666329768376829,False
Acetate,2,0,-0.012074339735894345,0.03128540016421444,-0.023279318699558807,-0.0008693607722298855,True
Acetate,2,1,-0.007589045618247286,0.29217916580040926,-0.01951757344887377,0.0043394822123792,False
Acetone,1,0,0.0008882794117647044,0.785096545136146,-0.002269208909803925,0.004045767733333334,False
Acetone,2,0,0.0008034954981992835,0.8031351859437964,-0.0022002164443287175,0.0038072074407272845,False
Acetone,2,1,-8.478391356542096e-05,0.997867296418489,-0.0032986923220349007,0.0031291244949040588,False
Alanine,1,0,0.01926007352941178,0.23668122258988789,-0.008688903044888601,0.047209050103712166,False
Alanine,2,0,0.0264607337935176,0.09284342202390872,-0.0033184371008728383,0.056239904687908036,False
Alanine,2,1,0.007200660264105818,0.7106253046365548,-0.014367010996261555,0.02876833152447319,False
Asparagine,1,0,-0.03216072794117646,1.0405458339413087e-07,-0.04521283635967666,-0.019108619522676264,True
Asparagine,2,0,-0.03143134618847539,2.0985775706083842e-07,-0.044521872207662544,-0.01834082016928823,True
Asparagine,2,1,0.0007293817527010762,0.8403423892760754,-0.0023329398628598582,0.0037917033682620107,False
Aspartate,1,0,-0.03415192647058823,9.036335336665147e-07,-0.04927855163380523,-0.019025301307371227,True
Aspartate,2,0,-0.02450357713085235,0.0016278545603203298,-0.041017893920461915,-0.007989260341242782,True
Aspartate,2,1,0.009648349339735879,0.05006683066347839,-2.2129701947905256e-06,0.019298911649666548,False
Betaine,1,0,0.002667477941176467,0.04139092748106721,8.290009161001418e-05,0.00525205579074292,True
Betaine,2,0,0.004802081782713079,0.32860677466981925,-0.003179625960410443,0.0127837895258366,False
Betaine,2,1,0.0021346038415366118,0.8168946080257379,-0.006221203590615679,0.010490411273688903,False
Butyrate,1,0,0.061115977941176486,2.6978419498391304e-14,0.048686268009993906,0.07354568787235906,True
Butyrate,2,0,0.12994007758103232,0.0,0.10379455806755505,0.1560855970945096,True
Butyrate,2,1,0.06882409963985583,1.8675176216564893e-07,0.04032440231972999,0.09732379695998168,True
Caprate,1,0,0.09545829411764699,7.771561172376096e-15,0.08394137567149142,0.10697521256380256,True
Caprate,2,0,0.08441708763505398,0.0,0.07362664196660813,0.09520753330349983,True
Caprate,2,1,-0.011041206482593005,0.15652943427970034,-0.025136834892318015,0.003054421927132003,False
Caprylate,1,0,0.26995600000000003,0.0,0.23423052180909454,0.3056814781909055,True
Caprylate,2,0,0.22751536374549822,0.0,0.19484718317895472,0.2601835443120417,True
Caprylate,2,1,-0.04244063625450181,0.08765845891019786,-0.08962395323251048,0.004742680723506851,False
Choline,1,0,-0.05641390441176461,2.984589854149178e-07,-0.08061152451454962,-0.032216284308979604,True
Choline,2,0,-0.019100519057622944,0.30876255834532873,-0.049825629269456106,0.011624591154210221,False
Choline,2,1,0.037313385354141665,0.003447410579036969,0.010529455770961909,0.06409731493732142,True
Citrate,1,0,-0.5291879117647085,7.298711499237331e-05,-0.819592472951584,-0.23878335057783295,True
Citrate,2,0,-1.3607374315726284,0.0,-1.6264715274511397,-1.0950033356941171,True
Citrate,2,1,-0.8315495198079199,0.0,-1.0643263242460574,-0.5987727153697825,True
Creatine,1,0,-0.029281242647058787,0.0,-0.0344849205611824,-0.024077564732935174,True
Creatine,2,0,-0.03115657277911161,0.0,-0.03698637141859282,-0.025326774139630397,True
Creatine,2,1,-0.0018753301320528215,0.5972054903128433,-0.006446738085733262,0.002696077821627619,False
Creatine phosphate,1,0,0.014642602941176471,9.331091455067053e-12,0.009919730660844086,0.019365475221508856,True
Creatine phosphate,2,0,0.002094883853541417,0.5297251553259748,-0.0024972592082281283,0.006687026915310962,False
Creatine phosphate,2,1,-0.012547719087635054,1.0113580750648055e-08,-0.01735913325301609,-0.007736304922254018,True
Creatinine,1,0,-0.0003729117647059063,0.8477807640787027,-0.001977936001996929,0.0012321124725851163,False
Creatinine,2,0,-0.005300792917166879,6.11579675791063e-11,-0.007070780013644133,-0.0035308058206896253,True
Creatinine,2,1,-0.004927881152460973,9.71276392647269e-11,-0.0065854484144365925,-0.0032703138904853534,True
Ethanolamine,1,0,0.005879338235294129,0.18505593896057915,-0.0019922057040947603,0.013750882174683019,False
Ethanolamine,2,0,-0.017154305222088835,1.1219543692986278e-06,-0.02487914903458434,-0.009429461409593332,True
Ethanolamine,2,1,-0.023033643457382964,5.213209863796919e-10,-0.031160415924411357,-0.014906870990354574,True
Fucose,1,0,-0.2610796617647059,8.219203095904959e-12,-0.34404911874066013,-0.1781102047887516,True
Fucose,2,0,-0.1966412764105644,1.342398846526649e-06,-0.28588054893328296,-0.10740200388784579,True
Fucose,2,1,0.06443838535414148,0.05363464617187197,-0.0007875559812758892,0.12966432668955885,False
Fumarate,1,0,-0.0012614999999999979,4.96442775776984e-10,-0.0017088077581876176,-0.0008141922418123781,True
Fumarate,2,0,-0.0018570582232893145,0.0,-0.0023576890557649704,-0.0013564273908136585,True
Fumarate,2,1,-0.0005955582232893167,0.014004823258556787,-0.00109191704214796,-9.919940443067342e-05,True
Galactose,1,0,-0.023301235294117636,0.001362569391396229,-0.03879371408688974,-0.007808756501345533,True
Galactose,2,0,-0.04860567707082832,4.529709940470639e-14,-0.06192750324077044,-0.035283850900886204,True
Galactose,2,1,-0.025304441776710686,3.5284308808058995e-10,-0.033970386610502674,-0.016638496942918697,True
Glucose,1,0,0.41938188235294105,3.939726322954584e-11,0.27970725981063466,0.5590565048952474,True
Glucose,2,0,0.6054839831932778,4.884981308350689e-15,0.44501699745184853,0.765950968934707,True
Glucose,2,1,0.18610210084033674,0.026257961001773467,0.01771375677995196,0.3544904449007215,True
Glutamate,1,0,0.328819389705883,4.332312286692286e-10,0.21275524162765047,0.4448835377841155,True
Glutamate,2,0,0.4675709803421373,0.0,0.34426009953331316,0.5908818611509614,True
Glutamate,2,1,0.1387515906362543,0.01178078450641551,0.02544695154381696,0.2520562297286917,True
Glutamine,1,0,0.12209620588235295,0.0,0.09477894102350927,0.14941347074119665,True
Glutamine,2,0,0.3737539489795917,0.0,0.32239152173684665,0.4251163762223367,True
Glutamine,2,1,0.2516577430972387,7.771561172376096e-15,0.19449374989549031,0.30882173629898707,True
Glycine,1,0,-0.038917705882354436,0.9945641790810839,-0.9614895252221253,0.8836541134574164,False
Glycine,2,0,-0.3959453469387779,0.5932618391829028,-1.3536837258987777,0.561793032021222,False
Glycine,2,1,-0.3570276410564235,0.602178366572476,-1.2335632626838844,0.5195079805710374,False
Histidine,1,0,-0.013699198529411791,0.00019086545881474848,-0.02159619650914285,-0.005802200549680732,True
Histidine,2,0,-0.020333622298919586,1.4194924902177775e-08,-0.028058396347633525,-0.012608848250205647,True
Histidine,2,1,-0.006634423769507795,2.3708669139033134e-08,-0.009241752695683078,-0.004027094843332512,True
Isoleucine,1,0,-0.06491335294117642,2.020632550170376e-10,-0.08674599902352406,-0.04308070685882879,True
Isoleucine,2,0,-0.07276410324129645,1.0220713164699191e-12,-0.0941691683854345,-0.0513590380971584,True
Isoleucine,2,1,-0.007850750300120043,0.0006265746140631245,-0.012755949725812975,-0.0029455508744271122,True
Lactate,1,0,-0.27397193382352936,1.688448583170299e-07,-0.38950848207715444,-0.15843538556990427,True
Lactate,2,0,-0.38994102145858345,0.0,-0.4769919026296144,-0.3028901402875525,True
Lactate,2,1,-0.11596908763505412,0.01217487982370502,-0.21099197815975884,-0.020946197110349382,True
Lactose,1,0,19.44423001470591,0.0,13.952153497478186,24.93630653193363,True
Lactose,2,0,29.072643730192127,0.0,23.471429537086614,34.67385792329764,True
Lactose,2,1,9.628413715486218,0.0008987721385069758,3.42993154550208,15.826895885470357,True
Leucine,1,0,-0.1438842647058824,1.4290579830600336e-10,-0.191925863879272,-0.0958426655324928,True
Leucine,2,0,-0.16537159963985598,1.7053025658242404e-13,-0.21211666923412512,-0.11862653004558685,True
Leucine,2,1,-0.021487334933973576,0.00011426416176119059,-0.03348113051101908,-0.009493539356928071,True
Lysine,1,0,-0.1097263823529411,5.440092820663267e-15,-0.12990447062877364,-0.08954829407710857,True
Lysine,2,0,-0.12805591416566617,0.0,-0.14679561570423036,-0.10931621262710198,True
Lysine,2,1,-0.018329531812725078,2.260992274738527e-06,-0.02675210742082333,-0.009906956204626822,True
Methanol,1,0,0.004957286764705877,0.0010148615390688231,0.0017344638141244574,0.008180109715287296,True
Methanol,2,0,0.002643361194477792,0.1752441041444639,-0.0008439283969596837,0.006130650785915267,False
Methanol,2,1,-0.002313925570228085,0.35389661934550387,-0.0062750203998782955,0.0016471692594221257,False
